dates,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2010-01-01,EMPL_PARTTIME_NUM_TH,309.1,93.2,2.3,5.3,3.2,2.3,1.2,7.1,3.1,2.0,2.0,12.0,2.2,6.1,7.6,6.0,12.8,3.2,3.1,11.9,30.7,2.9,0.1,1.3,0.0,,2.8,0.2,3.6,3.5,4.2,3.7,8.2,26.3,0.1,0.0,2.4,1.7,4.4,17.8,2.5,0.3,0.0,0.1,0.2,0.1,,1.8,71.5,4.6,2.5,2.0,7.1,4.3,2.5,10.2,5.7,7.6,3.5,2.0,6.3,7.6,5.4,39.2,3.6,18.8,4.4,0.6,0.1,,12.3,43.9,0.0,0.1,,0.3,4.7,1.8,9.7,5.5,7.8,7.8,5.2,1.0,1.8,0.0,0.0,0.9,0.6,0.1,0.0,0.1,0.0,0.0,,,
2010-02-01,EMPL_PARTTIME_NUM_TH,340.7,103.9,1.5,9.7,3.6,1.8,1.8,6.9,3.4,2.5,2.3,11.8,3.1,6.5,8.8,7.4,13.0,4.1,3.9,11.9,21.9,1.5,0.4,1.0,0.0,,4.2,0.4,1.6,0.4,2.6,1.2,8.5,24.8,0.1,0.0,3.5,1.3,4.1,15.8,2.7,0.2,,0.6,0.0,0.4,0.0,1.5,94.0,5.1,2.0,1.9,7.5,5.5,2.8,10.5,6.2,9.9,6.4,4.3,10.2,9.0,12.7,42.6,3.8,18.2,5.1,0.6,0.1,,15.4,47.6,0.0,0.2,0.1,0.5,6.9,1.5,12.3,2.0,7.9,8.8,6.4,1.0,3.2,0.0,0.0,1.8,0.6,0.1,0.0,0.1,0.4,0.0,,,
2010-03-01,EMPL_PARTTIME_NUM_TH,305.2,100.3,1.6,9.0,5.8,2.0,1.8,7.1,3.3,2.1,2.4,12.3,2.3,4.8,8.2,6.1,11.9,3.1,4.5,11.9,21.4,1.2,0.4,1.1,0.0,,3.7,0.5,1.4,0.4,2.3,1.2,9.2,23.8,0.1,0.1,4.0,0.7,3.0,16.0,2.9,0.1,0.0,0.6,0.2,0.1,0.0,1.9,85.2,4.0,1.9,3.7,7.8,6.5,2.8,11.3,4.2,7.5,5.8,4.4,8.5,6.1,10.7,39.5,3.5,17.5,4.2,0.4,0.1,,14.3,28.6,0.0,0.2,0.1,0.4,4.5,1.9,9.7,1.1,3.0,4.3,2.6,0.9,3.4,0.0,0.0,1.3,1.2,0.3,0.0,0.2,0.4,0.0,,,
2010-04-01,EMPL_PARTTIME_NUM_TH,254.6,81.2,1.5,9.1,4.6,1.8,1.1,6.8,3.2,2.1,1.4,8.4,2.5,3.9,7.7,5.1,4.4,2.0,3.5,12.2,19.9,1.1,0.6,0.8,0.0,,3.4,0.5,0.7,0.4,2.3,1.1,9.0,15.8,0.1,0.1,2.8,1.3,2.7,8.8,2.9,0.3,0.0,0.6,0.2,0.2,0.0,1.8,70.4,3.8,1.9,3.3,5.4,6.4,2.7,10.0,2.1,9.6,5.9,4.5,5.9,5.0,4.1,38.6,3.6,15.6,3.9,0.4,0.2,,15.5,23.6,0.0,0.2,0.1,0.3,5.0,1.8,6.6,0.8,2.8,3.8,1.5,0.8,2.2,0.1,0.0,0.6,1.1,0.2,0.0,0.1,0.0,0.0,,,
2010-05-01,EMPL_PARTTIME_NUM_TH,217.9,77.1,1.2,8.8,4.6,1.2,1.7,4.4,2.6,1.8,0.8,6.6,2.2,3.4,7.3,3.7,11.2,1.9,2.7,11.0,17.8,1.3,0.6,0.7,0.0,,2.3,0.5,0.7,0.5,2.4,1.0,7.7,12.6,0.1,0.1,2.3,0.8,2.0,7.3,3.0,0.3,,0.6,0.2,0.2,0.0,1.7,54.5,2.6,2.6,2.9,3.8,3.3,1.7,8.6,1.5,4.6,5.8,3.9,5.4,4.7,3.1,29.2,0.7,14.4,2.7,0.2,0.4,,11.4,21.5,0.0,0.1,0.0,0.2,4.1,1.7,6.1,1.0,2.3,3.9,1.2,0.8,2.4,0.1,0.0,0.5,1.3,0.2,0.0,0.1,0.0,0.0,,,
2010-06-01,EMPL_PARTTIME_NUM_TH,203.7,70.5,1.4,8.1,3.1,1.6,1.9,4.6,1.6,1.4,0.7,5.5,1.9,3.9,6.2,2.2,11.0,1.5,2.7,11.3,15.7,0.7,0.6,0.6,0.0,,2.1,0.4,0.8,0.4,1.9,0.4,7.8,11.8,0.1,0.1,2.1,0.6,1.9,7.0,3.6,0.7,0.3,0.7,0.1,0.3,0.1,1.4,48.6,2.2,1.8,2.6,4.0,4.9,1.5,8.3,1.7,3.2,5.4,2.7,3.8,4.2,2.3,26.2,0.9,11.8,2.6,0.2,0.3,,10.9,22.4,0.1,0.1,,0.2,4.6,1.7,6.1,0.9,2.5,4.0,1.4,0.9,5.0,0.1,0.0,1.4,2.9,0.2,0.0,0.1,0.2,0.0,,,
2010-07-01,EMPL_PARTTIME_NUM_TH,186.2,65.3,1.0,8.4,2.0,1.1,1.8,2.8,1.0,1.1,0.5,5.9,2.2,4.2,6.1,1.7,11.0,1.4,3.4,9.8,15.6,0.7,0.5,0.6,0.0,,2.0,0.4,1.0,0.4,1.9,0.4,7.7,7.2,0.1,0.1,1.4,0.5,2.3,2.9,3.0,0.7,0.0,0.7,0.1,0.3,0.0,1.1,47.5,2.3,1.4,2.5,4.2,4.6,1.5,8.3,1.8,2.7,5.5,2.2,4.3,4.0,2.2,23.2,0.6,10.6,2.5,0.3,0.2,,9.5,19.6,0.1,0.1,0.0,0.2,3.9,1.7,5.6,0.8,1.9,3.3,1.5,0.6,4.9,0.2,0.0,1.6,2.5,0.2,0.0,0.1,0.2,0.0,,,
2010-08-01,EMPL_PARTTIME_NUM_TH,161.1,52.3,0.9,7.7,2.1,1.1,1.3,1.9,0.9,0.7,0.4,5.4,2.1,4.0,5.2,2.0,3.5,1.2,1.8,10.2,15.4,0.6,0.5,0.6,0.0,,2.0,0.4,1.5,0.3,1.7,0.4,7.4,9.3,0.1,0.0,1.4,0.5,2.4,4.9,3.0,0.6,0.3,0.2,0.1,0.3,0.0,1.4,39.5,2.3,1.6,1.5,2.6,4.6,0.9,7.8,1.6,2.0,4.3,0.9,4.0,4.0,1.4,19.4,0.5,8.5,1.9,0.2,0.2,,8.5,17.6,0.1,0.1,0.0,0.1,2.8,1.6,4.8,0.7,1.9,3.2,1.5,0.7,4.6,0.2,0.0,1.6,2.4,0.1,0.0,0.1,0.2,0.0,,,
2010-09-01,EMPL_PARTTIME_NUM_TH,164.3,65.2,0.9,7.6,2.3,1.4,1.2,1.7,1.0,0.8,0.5,5.2,1.8,3.7,4.8,1.5,10.8,1.0,8.5,10.8,14.1,0.4,0.5,0.6,0.0,,2.0,0.4,1.5,0.3,1.7,0.3,6.5,8.8,0.1,0.0,1.4,0.4,2.0,4.8,2.5,0.3,0.0,0.2,0.1,0.3,0.1,1.5,34.9,1.4,1.7,1.9,2.4,3.2,0.9,6.2,1.6,2.1,4.2,0.6,3.7,3.8,1.3,16.8,0.4,8.0,1.2,0.1,0.0,,7.1,17.5,0.0,0.1,0.0,0.2,2.6,1.5,4.9,1.1,2.2,3.0,1.4,0.6,4.5,0.3,0.0,1.5,2.2,0.3,0.0,0.1,0.2,0.0,,,
2010-10-01,EMPL_PARTTIME_NUM_TH,145.5,56.0,0.8,7.2,4.1,1.5,1.1,2.1,1.0,0.7,0.6,4.1,2.1,2.4,6.0,1.2,2.6,1.0,8.2,9.4,13.4,0.4,0.4,0.5,0.0,,2.0,0.3,1.2,0.3,1.5,0.3,6.6,8.6,0.1,0.0,1.3,0.4,1.9,4.9,2.0,0.3,0.0,0.1,0.1,0.2,0.0,1.3,29.3,0.8,0.6,1.0,2.7,1.2,1.2,5.7,0.9,1.5,4.1,0.6,4.5,3.2,1.3,15.7,0.4,6.5,1.1,0.2,0.0,,7.7,16.7,0.0,0.1,0.0,0.2,2.3,1.2,5.1,1.3,2.1,2.7,1.1,0.6,3.8,0.0,0.0,1.1,2.0,0.3,0.0,0.1,0.2,0.0,,,
2010-11-01,EMPL_PARTTIME_NUM_TH,156.3,60.3,1.8,7.7,3.9,1.9,1.0,2.1,1.4,0.8,1.1,4.0,2.2,2.7,6.1,1.6,2.3,1.2,8.3,10.2,11.7,0.4,0.3,0.5,0.0,,1.9,0.2,0.8,0.2,1.5,0.3,5.6,9.3,0.1,0.0,1.4,0.4,2.0,5.4,2.5,0.4,0.0,0.1,0.1,0.2,0.0,1.7,32.2,0.9,0.6,0.4,4.3,1.7,1.6,5.6,1.0,1.7,4.5,1.1,4.6,3.1,1.2,19.5,0.4,5.4,1.0,0.3,0.2,,12.8,18.1,0.0,0.1,0.0,0.2,2.4,1.3,5.5,1.5,1.9,3.4,1.2,0.6,2.7,0.0,0.0,1.0,1.4,0.1,0.0,0.1,0.0,0.0,,,
2010-12-01,EMPL_PARTTIME_NUM_TH,148.7,57.6,1.2,7.5,2.2,1.9,0.8,2.7,1.0,1.0,1.2,3.9,2.0,3.1,5.7,1.4,2.8,1.2,8.1,10.2,10.7,0.3,0.5,0.5,0.0,,1.4,0.2,0.9,0.2,1.3,0.3,5.2,10.0,0.1,0.0,2.2,0.4,1.7,5.6,2.3,0.3,0.0,0.1,0.1,0.3,0.0,1.5,31.7,2.5,0.3,0.7,4.4,3.0,1.5,5.6,0.9,1.5,3.6,1.0,2.8,3.0,1.0,16.7,0.6,3.5,0.8,0.3,0.0,,11.7,17.2,0.0,0.1,0.0,0.1,2.4,1.4,4.3,1.7,1.6,3.8,1.2,0.6,2.5,0.0,0.0,1.3,0.9,0.1,0.0,0.1,0.0,0.0,,,
2011-01-01,EMPL_PARTTIME_NUM_TH,124.9,37.3,0.5,1.3,1.2,1.6,0.6,1.2,0.5,0.9,1.0,3.1,1.6,2.4,3.6,0.9,3.6,0.9,1.1,11.3,18.8,1.5,0.3,0.4,0.0,,1.4,0.3,1.8,2.4,1.5,1.0,8.3,12.5,0.1,0.0,2.3,0.5,3.0,6.6,1.9,0.3,0.0,0.0,0.1,0.2,0.0,1.2,27.1,1.9,0.3,0.3,3.2,1.9,0.5,5.3,0.7,1.8,4.7,0.8,2.1,3.1,0.4,10.8,0.4,3.4,1.1,0.3,0.0,,5.9,15.1,0.0,0.1,0.1,0.1,0.6,1.2,4.6,0.9,1.4,4.6,1.0,0.5,1.4,0.0,0.0,0.6,0.3,0.1,0.0,0.1,0.2,0.0,,,
