,varname,Российская Федерация,Центральный федеральный округ,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г. Москва,Северо-Западный федеральный округ,Республика Карелия,Республика Коми,Архангельская область,Ненецкий авт. округ,Архангельская область без авт. округа,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г. Санкт-Петербург,Южный федеральный округ,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Северо-Кавказский федеральный округ,Республика Дагестан,Республика Ингушетия,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Чеченская Республика,Ставропольский край,Приволжский федеральный округ,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Уральский федеральный округ,Курганская область,Свердловская область,Тюменская область,Ханты-Мансийский авт. округ - Югра,Ямало-Ненецкий авт. округ,Тюменская область без авт. округов,Челябинская область,Сибирский федеральный округ,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Дальневосточный федеральный округ,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский авт. округ,Крымский федеральный округ,Республика Крым,г. Севастополь
2010-01-01,ELECTR_VOL_MLN_KWT,102634.6,23738.3,96.1,6.5,277.6,1446.2,262.2,22.8,1516.4,2949.3,435.2,2999.5,162.4,1090.5,2576.0,140.9,2904.8,699.2,459.6,5693.1,10492.0,482.3,907.7,763.9,83.0,,671.4,257.1,3602.1,1757.2,86.5,207.5,1756.3,4497.3,9.8,,592.7,287.5,1501.5,2105.8,2352.7,422.2,,16.0,32.5,16.9,,1865.1,18771.1,2532.1,139.7,170.3,2628.7,334.8,535.8,2769.5,544.9,1134.8,1628.5,199.1,2327.3,3388.6,437.0,16962.8,221.6,5118.9,8945.7,7477.5,372.7,,2676.6,20786.9,0.41,512.7,8.2,314.9,782.8,688.6,6336.3,6387.0,2701.2,1615.6,822.4,616.8,4775.0,829.5,167.5,987.0,956.5,1272.2,223.1,268.1,,71.1,,,
2010-02-01,ELECTR_VOL_MLN_KWT,92683.0,21423.0,78.5,8.5,240.9,1245.7,249.9,22.0,1281.2,2869.2,404.2,2518.3,138.8,874.5,2466.5,136.1,2763.0,683.1,453.0,4989.6,9465.4,405.0,837.7,669.8,88.8,,612.3,301.7,3281.8,1567.7,71.1,203.7,1514.6,4032.7,8.4,,548.7,272.3,1265.2,1938.1,2141.1,427.6,,14.2,26.9,13.7,,1658.7,16927.8,2272.1,120.1,144.2,2289.8,318.7,496.1,2511.7,457.1,1098.8,1460.9,169.5,2079.8,3123.6,385.4,15535.0,247.7,4835.9,7988.6,6636.3,344.4,,2462.8,18789.4,0.27,478.8,6.8,412.2,781.9,626.8,5665.5,5702.3,2447.8,1461.7,719.0,486.3,4177.1,742.9,151.1,797.4,846.3,1119.0,197.6,250.9,,71.9,,,
2010-03-01,ELECTR_VOL_MLN_KWT,94457.0,21283.1,78.9,11.6,215.3,1386.2,259.7,23.1,1310.2,3145.6,401.6,2380.6,134.2,761.2,2240.3,141.2,3028.3,649.1,471.0,4645.0,9898.9,433.1,849.0,696.9,93.0,,653.4,327.8,3399.7,1630.0,66.4,109.7,1732.9,4171.3,9.1,,592.8,231.9,1331.6,2005.9,2157.5,554.9,,16.3,28.9,15.7,,1541.7,17305.8,2281.0,125.8,143.1,2122.2,340.7,517.6,2562.8,448.1,1064.2,1532.9,166.9,2104.7,3497.5,398.3,15960.2,225.9,4632.5,8454.6,6942.5,363.8,,2647.2,19245.9,0.2,474.7,7.0,895.2,718.6,656.4,5662.1,5743.1,2454.8,1544.0,645.2,444.6,4234.3,732.0,160.8,849.2,816.4,1142.2,216.4,265.2,,52.1,,,
2010-04-01,ELECTR_VOL_MLN_KWT,82292.2,17080.4,61.8,16.6,163.2,1290.2,192.8,17.4,902.3,1629.6,334.2,1957.1,101.5,697.1,2199.8,83.9,2689.0,594.3,428.3,3721.3,8799.1,414.3,782.3,625.5,89.2,,647.4,123.3,3251.5,1375.2,50.6,114.9,1414.1,3378.8,8.9,,451.6,212.1,1342.6,1363.6,1869.8,580.4,,19.5,100.8,25.9,,1143.2,15871.7,2085.0,85.9,103.9,1686.9,301.1,505.3,2341.5,359.1,965.0,1342.5,112.7,1825.6,3914.8,242.4,14101.7,148.3,4020.0,7726.5,6406.2,330.9,,2206.9,17340.2,0.3,367.1,7.1,1064.6,604.9,608.2,4871.2,5045.8,2403.4,1411.3,559.8,396.5,3687.5,631.0,146.9,803.4,576.8,1017.7,202.1,257.9,,51.7,,,
2010-05-01,ELECTR_VOL_MLN_KWT,76929.2,14618.1,58.8,12.4,108.5,1279.2,100.1,17.2,692.1,1886.7,311.9,1723.2,59.4,568.3,2164.3,31.5,1966.3,484.8,340.9,2812.5,8337.3,491.1,725.1,562.3,88.1,,594.6,221.8,3253.2,1345.5,46.0,107.4,990.3,4164.9,10.2,,414.5,171.9,1919.5,1648.8,1739.8,681.6,,43.4,196.5,51.7,,766.6,14666.3,1469.9,68.4,75.3,1573.2,166.6,383.8,2572.2,284.2,821.1,1329.7,95.7,2063.1,3613.4,149.7,13703.8,94.9,3922.1,7698.9,6540.4,198.3,,1987.9,16334.1,0.3,383.1,6.2,1001.0,502.9,533.1,4687.1,4847.1,2340.5,1220.0,452.0,360.8,3170.2,434.5,132.3,722.3,404.8,1034.7,172.4,227.0,,42.2,,,
2010-06-01,ELECTR_VOL_MLN_KWT,72177.4,14747.7,39.7,10.3,89.0,1010.3,92.0,14.0,826.5,2140.3,301.2,1874.9,59.5,739.9,1660.0,30.6,2322.0,409.9,306.2,2821.4,7790.7,427.0,657.5,508.6,73.2,,598.1,274.0,2997.6,1287.6,44.9,145.4,850.0,3778.0,9.2,,469.5,180.1,1180.2,1939.0,1952.8,840.5,,60.6,209.2,57.6,,784.9,13217.2,1681.8,43.6,58.8,1597.8,140.5,305.3,2225.8,229.8,665.3,1287.8,93.3,1691.6,3058.6,137.2,12925.0,56.2,4099.5,6951.0,6070.8,167.2,,1818.3,15150.1,0.2,259.3,4.9,1076.5,446.7,367.6,4974.6,4852.1,1679.0,869.5,347.5,272.2,2750.0,350.2,119.4,616.6,331.9,951.4,153.8,193.4,,33.3,,,
2010-07-01,ELECTR_VOL_MLN_KWT,75024.8,16793.0,36.9,6.7,80.6,1138.5,106.1,14.1,1080.7,1994.9,307.3,2332.8,69.4,928.4,2002.9,26.9,2760.3,485.5,234.5,3186.5,7472.6,341.4,633.3,515.7,72.3,,420.1,258.5,3041.4,1294.6,39.5,197.8,730.3,4126.6,8.0,,547.0,192.4,1032.2,2347.0,2197.0,684.8,,57.0,212.6,59.6,,1183.0,13967.5,1999.5,74.0,68.9,1895.8,139.5,228.1,2221.4,244.4,604.3,1519.6,49.2,1468.0,3299.1,155.7,12693.6,117.3,3756.1,6952.2,5972.0,151.1,,1868.0,14970.1,0.2,354.8,2.8,1214.7,411.5,362.4,4483.3,4785.7,1763.6,957.5,387.9,245.7,2766.3,333.2,119.1,641.9,339.3,995.3,127.2,180.7,,29.6,,,
2010-08-01,ELECTR_VOL_MLN_KWT,76779.8,16930.2,58.1,7.2,89.5,999.2,167.0,11.0,1075.0,1484.8,312.0,2361.6,107.2,1072.5,1915.5,40.8,2904.5,657.1,260.0,3407.2,7972.3,317.6,623.5,535.6,74.3,,671.8,259.6,3229.1,1307.8,43.7,233.3,750.3,4129.4,5.4,,604.6,183.3,1039.9,2296.2,2333.2,383.7,,62.8,180.4,54.8,,1651.5,13796.8,1875.2,75.9,52.2,2078.3,139.9,304.2,2420.3,201.3,566.3,1500.1,47.4,1448.7,2947.3,139.7,13455.4,64.4,4053.2,7345.3,6319.8,159.4,,1992.5,15118.8,0.2,418.6,5.0,1583.9,380.0,362.4,4424.5,4499.1,1842.9,929.7,388.9,283.6,2805.1,361.4,119.5,613.2,305.2,1043.3,133.3,201.3,,27.9,,,
2010-09-01,ELECTR_VOL_MLN_KWT,78042.1,17279.7,71.0,8.0,81.1,753.1,169.6,11.8,982.9,2225.6,325.9,2563.3,91.2,883.4,1668.6,152.6,3034.5,384.7,211.9,3660.5,8589.7,314.5,674.0,611.7,84.7,,645.1,220.8,3381.8,1421.1,68.5,268.3,983.9,3829.5,3.5,,511.4,206.5,954.0,2154.1,1893.3,184.2,,40.3,125.5,40.5,,1502.8,13950.0,1926.1,83.4,70.5,2014.9,159.6,299.0,2124.9,271.1,573.8,1538.5,90.9,1327.6,3321.9,147.8,14017.1,96.8,4383.9,7566.6,6499.1,224.0,,1969.8,15684.0,0.3,328.5,5.7,1180.4,512.6,533.5,4323.4,4746.7,2018.8,1166.4,449.7,418.0,3003.0,463.4,123.8,741.6,373.1,898.8,166.0,200.9,,35.4,,,
2010-10-01,ELECTR_VOL_MLN_KWT,89631.5,19827.3,117.9,12.8,175.8,696.2,252.4,13.5,1133.6,3031.4,388.1,3095.0,138.8,751.7,1812.6,113.8,2529.4,653.4,344.8,4566.1,9586.0,406.2,757.6,682.6,92.4,,656.1,298.9,3684.1,1538.9,75.4,186.9,1299.3,4406.2,4.2,,537.1,187.2,1045.1,2632.6,2150.1,218.9,,33.8,99.4,28.3,,1769.7,16292.4,2280.4,96.3,102.1,2062.4,262.3,407.4,2560.0,352.2,721.9,1515.0,130.6,1642.5,3904.3,255.0,15296.2,167.7,4573.4,8261.1,7087.0,259.0,,2294.0,17712.6,0.2,370.9,7.4,1510.2,567.0,636.9,5073.6,4986.6,2152.3,1297.6,606.2,503.7,3724.8,696.9,139.2,809.2,573.5,991.6,200.4,270.3,,43.7,,,
2010-11-01,ELECTR_VOL_MLN_KWT,91922.5,20461.2,127.9,19.4,201.8,693.0,244.3,20.4,1310.9,3034.6,404.1,2603.5,130.1,851.3,1792.2,135.7,2928.6,598.9,335.5,5029.0,10260.5,401.4,824.8,717.9,92.6,,675.1,314.2,4093.1,1594.5,66.5,232.8,1340.2,4376.6,7.4,9.8,477.5,246.5,1093.4,2542.0,2053.2,267.3,,20.5,53.5,27.6,,1684.3,16668.6,2213.8,117.3,112.1,2030.4,321.2,387.5,2556.9,421.2,774.5,1658.2,170.0,1704.6,3872.1,328.8,15149.0,171.0,4169.5,8555.1,7212.4,280.6,,2253.4,18555.3,0.2,412.8,7.6,1603.6,621.4,650.7,5444.9,5002.0,2244.6,1464.2,637.5,465.8,4098.1,762.6,150.4,825.9,688.3,1125.4,212.8,284.8,,47.9,,,
2010-12-01,ELECTR_VOL_MLN_KWT,103981.1,23083.5,113.8,23.3,244.0,739.8,222.9,20.5,1499.4,3054.0,459.6,3364.8,155.2,1052.2,1878.4,137.6,3019.7,658.7,435.1,6004.5,11594.5,369.0,910.8,796.9,99.3,,754.8,323.1,4526.9,1772.3,76.8,237.7,1826.2,4880.2,9.5,11.2,594.7,272.5,1319.2,2673.1,2268.1,289.2,,17.6,47.2,20.6,,1893.5,19429.8,2610.0,136.3,166.9,2612.9,341.2,520.3,2797.3,544.6,1032.0,1796.6,175.2,2149.9,4127.4,419.2,16792.5,245.0,4877.1,9207.8,7732.1,313.4,,2462.6,21308.2,0.3,519.0,8.6,1779.4,796.8,726.6,5926.3,5849.2,2611.2,1593.6,906.9,590.3,4820.5,971.4,163.9,995.7,941.6,1151.9,225.2,317.4,,53.4,,,
2011-01-01,ELECTR_VOL_MLN_KWT,102213.6,22313.0,111.4,22.6,265.6,722.3,238.4,21.8,1450.5,2969.1,475.1,3102.0,161.3,841.6,1864.9,169.3,2985.0,607.8,428.0,5876.3,11409.0,350.8,958.9,790.5,107.2,,665.8,490.2,4280.5,1737.6,69.5,155.5,1909.7,5003.2,6.7,,538.9,252.1,1388.2,2817.3,2191.2,351.2,,17.1,33.5,16.9,,1772.5,18470.5,2536.4,137.3,178.3,2392.9,334.3,537.3,2795.0,507.2,1033.6,1805.1,197.7,2142.1,3454.8,418.5,16291.0,239.3,4972.7,8767.6,7291.4,321.1,,2311.4,21224.1,0.4,504.3,8.1,1826.2,769.7,723.5,5669.8,6161.9,2648.8,1514.1,792.1,605.2,4811.6,916.8,165.8,999.2,946.7,1180.0,223.4,326.7,,53.0,,,
2011-02-01,ELECTR_VOL_MLN_KWT,93841.8,20779.7,106.7,20.5,246.7,685.4,234.3,18.5,1364.4,2748.3,437.9,2850.8,135.8,1030.2,1699.4,157.5,2928.8,644.9,430.1,5039.5,10279.3,382.4,863.4,726.8,100.1,,609.4,467.5,3603.6,1621.1,71.5,205.6,1728.0,4848.3,5.3,,548.0,255.9,1273.7,2765.4,2209.2,305.1,,10.2,29.6,13.7,,1850.6,16903.2,2341.0,119.1,165.9,2380.1,301.8,528.7,2607.5,438.1,1000.7,1569.3,181.2,1963.9,2929.7,376.2,15308.0,221.0,4504.0,8237.2,6785.3,392.6,,2345.8,18320.9,0.3,425.0,7.0,1579.1,615.9,621.4,5130.4,5348.6,2234.9,1218.3,673.9,466.1,4258.8,824.0,152.2,864.8,806.3,1054.8,211.8,295.1,,49.8,,,
2011-03-01,ELECTR_VOL_MLN_KWT,96294.2,21199.1,115.8,10.9,234.2,751.1,197.8,18.0,1357.6,3234.4,451.0,2699.7,128.9,961.1,1852.1,149.0,3066.2,609.3,448.4,4913.6,10564.7,389.1,943.8,711.8,98.0,,665.1,545.3,3591.5,1615.1,65.8,193.5,1843.7,5030.4,8.1,,525.5,275.8,1400.1,2820.9,1972.8,169.5,,12.7,30.6,13.8,,1746.2,17894.4,2299.9,130.0,190.1,2132.2,321.3,487.6,2675.4,459.6,996.0,1583.7,158.1,2000.5,4049.2,410.8,15739.4,225.9,4488.0,8711.1,7297.2,330.3,,2314.4,19074.3,0.3,411.4,6.7,2086.4,675.7,649.8,4932.6,5599.6,2250.9,1367.0,651.8,442.1,4260.6,791.2,154.3,1002.0,760.7,1003.1,199.9,302.0,,47.4,,,
2011-04-01,ELECTR_VOL_MLN_KWT,83902.1,17697.9,86.1,6.7,168.8,693.6,198.9,14.6,923.6,2188.7,363.4,2575.6,99.9,972.2,1265.0,109.1,3074.3,399.3,391.3,4166.8,9561.4,394.2,859.2,635.6,95.4,,628.7,432.2,3342.1,1410.2,62.4,163.7,1633.1,4208.9,8.7,,508.1,223.6,1399.0,2069.5,1791.0,159.3,,14.0,61.7,17.4,,1538.6,16394.5,2111.2,90.6,121.1,1910.4,286.5,482.2,2423.7,402.1,885.6,1437.0,122.4,1842.0,3990.0,289.7,13994.1,162.0,4254.6,7591.1,6336.1,279.4,,1986.4,16576.8,0.2,302.4,7.1,1719.9,485.4,587.7,4591.1,5102.7,1871.0,943.7,592.0,373.6,3677.5,637.9,142.4,816.3,571.0,1011.1,180.3,270.5,,48.0,,,
2011-05-01,ELECTR_VOL_MLN_KWT,79088.0,15661.3,55.9,2.5,106.9,503.2,103.2,16.5,788.9,2144.0,325.1,2040.5,60.7,712.4,1679.8,38.3,2995.0,343.7,343.3,3401.4,9111.7,459.9,781.1,572.5,87.9,,611.9,436.6,3276.7,1406.8,37.0,125.5,1403.7,4185.8,8.2,,392.3,178.1,1905.2,1702.0,1768.3,383.7,,32.6,168.2,50.0,,1133.8,15137.0,1748.5,77.0,104.8,1519.9,162.2,446.8,2488.2,281.6,789.0,1377.3,98.5,1892.7,3995.7,154.8,14158.8,130.2,3971.2,8196.3,7015.1,388.9,,1861.1,15706.6,0.3,346.8,5.9,1570.1,393.7,481.7,4647.5,4802.3,1820.3,915.6,415.7,306.7,3358.5,544.5,134.5,824.6,449.7,921.8,179.1,264.5,,39.8,,,
2011-06-01,ELECTR_VOL_MLN_KWT,73142.4,14773.8,35.7,3.1,82.0,414.2,152.9,15.7,792.8,1846.3,316.2,2263.7,71.8,948.0,1098.2,54.2,3202.9,322.0,232.3,2921.8,8466.3,305.2,719.0,507.3,75.8,,584.1,561.7,3124.2,1284.8,53.7,128.5,1197.8,3479.6,9.4,1.5,457.0,174.9,1053.7,1783.1,1982.6,583.5,,53.8,215.2,57.5,,1072.6,13746.3,1894.2,49.1,104.1,1916.8,131.6,264.1,2625.4,200.1,630.9,1259.8,106.8,1438.6,2976.3,148.5,13268.0,103.8,3637.0,7644.4,6430.3,323.9,,1882.8,14359.1,0.1,328.9,2.4,1877.0,364.4,405.8,4017.0,4277.6,1684.4,833.1,359.3,209.1,2966.7,459.4,126.5,662.5,365.5,886.2,153.3,281.3,,32.0,,,
2011-07-01,ELECTR_VOL_MLN_KWT,76785.6,16351.9,35.8,1.4,68.4,687.3,121.8,19.4,1089.5,1752.3,302.8,2547.0,60.6,1163.7,2075.6,40.7,2610.2,325.0,240.1,3210.3,8305.5,238.9,695.4,504.3,73.2,,602.2,600.9,3214.5,1280.2,49.7,147.5,971.9,4264.6,9.6,,511.3,198.6,1121.6,2423.5,2203.0,531.6,,76.4,224.9,60.1,,1310.0,13514.7,1952.6,60.9,96.9,1945.8,114.8,316.4,2088.2,213.2,613.6,1354.1,86.7,1552.3,2963.2,156.0,14067.0,122.0,4019.2,7917.7,6848.6,280.8,,2008.1,14904.3,0.2,271.4,1.5,1854.5,410.5,456.3,4152.2,4373.6,1799.4,933.8,375.4,275.5,2974.6,442.2,122.9,674.3,390.4,905.4,136.6,271.7,,31.1,,,
